Date,Close,prediction,prediction_scaled,signal,order,order_cash,holdings,Cash,portfolio_value,signal_2,order_2,holdings_2,Cash_2,portfolio_value_2
2024-05-30 04:00:00,962.1001586914062,2,1,1,0,10,10,93276.48315429688,102897.48474121094,1,0,10,93299.6875,102920.68908691406
2024-05-31 04:00:00,956.3541259765625,2,1,1,0,10,10,93276.48315429688,102840.0244140625,1,0,10,93299.6875,102863.22875976562
2024-06-03 04:00:00,961.4627685546875,2,1,1,0,10,10,93276.48315429688,102891.11083984375,1,0,10,93299.6875,102914.31518554688
2024-06-04 04:00:00,946.8538208007812,1,-1,0,-1,10,0,102745.02136230469,102745.02136230469,1,0,10,93299.6875,102768.22570800781
2024-06-05 04:00:00,1037.0072021484375,0,0,0,0,10,0,102745.02136230469,102745.02136230469,1,0,10,93299.6875,103669.75952148438
2024-06-06 04:00:00,1048.230224609375,0,0,0,0,10,0,102745.02136230469,102745.02136230469,1,0,10,93299.6875,103781.98974609375
2024-06-07 04:00:00,1024.1409912109375,0,0,0,0,10,0,102745.02136230469,102745.02136230469,1,0,10,93299.6875,103541.09741210938
2024-06-10 04:00:00,1037.3756103515625,0,0,0,0,10,0,102745.02136230469,102745.02136230469,1,0,10,93299.6875,103673.44360351562
2024-06-11 04:00:00,1031.6993408203125,0,0,0,0,10,0,102745.02136230469,102745.02136230469,1,0,10,93299.6875,103616.68090820312
2024-06-12 04:00:00,1064.41259765625,0,0,0,0,10,0,102745.02136230469,102745.02136230469,1,0,10,93299.6875,103943.8134765625
2024-06-13 04:00:00,1048.329833984375,0,0,0,0,10,0,102745.02136230469,102745.02136230469,1,0,10,93299.6875,103782.98583984375
2024-06-14 04:00:00,1023.6231689453125,2,1,1,1,10,10,92508.78967285156,102745.02136230469,1,0,10,93299.6875,103535.91918945312
2024-06-17 04:00:00,1048.0908203125,0,0,1,0,10,10,92508.78967285156,102989.69787597656,1,0,10,93299.6875,103780.595703125
2024-06-18 04:00:00,1056.9637451171875,0,0,1,0,10,10,92508.78967285156,103078.42712402344,1,0,10,93299.6875,103869.32495117188
2024-06-20 04:00:00,1046.3680419921875,2,1,1,0,10,10,92508.78967285156,102972.47009277344,1,0,10,93299.6875,103763.36791992188
2024-06-21 04:00:00,1032.2867431640625,2,1,1,0,10,10,92508.78967285156,102831.65710449219,1,0,10,93299.6875,103622.55493164062
2024-06-24 04:00:00,997.8408203125,2,1,1,0,10,10,92508.78967285156,102487.19787597656,1,0,10,93299.6875,103278.095703125
2024-06-25 04:00:00,1019.0820922851562,2,1,1,0,10,10,92508.78967285156,102699.61059570312,1,0,10,93299.6875,103490.50842285156
2024-06-26 04:00:00,1012.3701171875,1,-1,0,-1,10,0,102632.49084472656,102632.49084472656,1,0,10,93299.6875,103423.388671875
2024-06-27 04:00:00,1023.7326049804688,1,-1,0,0,10,0,102632.49084472656,102632.49084472656,1,0,10,93299.6875,103537.01354980469
2024-06-28 04:00:00,1018.4745483398438,1,-1,0,0,10,0,102632.49084472656,102632.49084472656,1,0,10,93299.6875,103484.43298339844
2024-07-01 04:00:00,1029.189697265625,1,-1,0,0,10,0,102632.49084472656,102632.49084472656,1,0,10,93299.6875,103591.58447265625
